State seed;126;Test seed;0
Test_Count;Random100;Consecutive 0-99
0;-nan;-nan
8250;0.0498182;0.0487273
8260;0.0498386;0.0487086
8270;0.0498186;0.0488513
8280;0.0497585;0.0488728
8290;0.0497386;0.0489345
8300;0.0497992;0.0488755
8310;0.0497794;0.0488969
8320;0.0497195;0.0488782
8330;0.0496999;0.0490996
8340;0.0497202;0.0490408
8350;0.0497006;0.048982
8360;0.0496412;0.0490829
8370;0.0496615;0.0490641
8380;0.049642;0.0490056
8390;0.0496623;0.0489869
8400;0.0496032;0.0489683
8410;0.0496631;0.0490686
8420;0.0496437;0.0490499
8430;0.0496639;0.0490708
8440;0.049684;0.0491311
8450;0.0496647;0.0491124
8460;0.0496848;0.0490938
8470;0.0497048;0.0491539
8480;0.0497248;0.0492138
8490;0.0497055;0.0491951
8500;0.0496863;0.0492157
8510;0.0497062;0.0493145
8520;0.049687;0.0492958
8530;0.0496288;0.0493552
8540;0.0496487;0.0493755
8550;0.0497466;0.0494347
8560;0.0497274;0.0493769
8570;0.0497083;0.0493193
8580;0.0497281;0.0493007
8590;0.0496702;0.0493209
8600;0.0497674;0.0493411
8610;0.0497484;0.0493612
8620;0.0497293;0.04942
8630;0.0497103;0.0494399
8640;0.0496528;0.049537
8650;0.0496339;0.0495568
8660;0.0495766;0.0495766
8670;0.0495963;0.0495963
8680;0.0495392;0.0495776
8690;0.0495589;0.0495972
8700;0.0495019;0.0495785
8710;0.0495216;0.0495216
8720;0.0494648;0.0495795
8730;0.0495227;0.0495609
8740;0.0495805;0.0495805
8750;0.0495238;0.0495619
8760;0.0494673;0.0496195
8770;0.0494869;0.0496009
8780;0.0494685;0.0496204
8790;0.049526;0.0496777
8800;0.0495076;0.0496591
8810;0.0494892;0.0497162
8820;0.0494331;0.0496977
8830;0.0494526;0.0496791
8840;0.0493967;0.049736
8850;0.0494915;0.0497552
8860;0.0494733;0.0497743
8870;0.0496054;0.0497182
8880;0.0496246;0.0497372
8890;0.0496438;0.0497188
8900;0.0496629;0.0496629
8910;0.0496446;0.0496072
8920;0.0496263;0.0495516
8930;0.0496081;0.0495334
8940;0.0495899;0.0495153
8950;0.0495345;0.0495345
8960;0.0494792;0.0494792
8970;0.0494983;0.049424
8980;0.0494803;0.0494061
8990;0.0494253;0.0493511
9000;0.0494815;0.0493333
9010;0.0494636;0.0493526
9020;0.0494087;0.0493348
9030;0.0494278;0.0492802
9040;0.0494469;0.0492994
9050;0.0493923;0.0493923
9060;0.0493745;0.0493745
9070;0.0493569;0.0493936
9080;0.0493759;0.0493759
9090;0.0493216;0.0493583
9100;0.0493773;0.049304
9110;0.0493963;0.0492499
9120;0.0494152;0.049269
9130;0.0494706;0.0492881
9140;0.0495259;0.0492341
9150;0.0494718;0.0491803
9160;0.0494178;0.0491266
9170;0.0493639;0.0491821
9180;0.0493827;0.0492012
9190;0.0494015;0.0492564
9200;0.0494928;0.0493478
9210;0.049439;0.0492942
9220;0.0493854;0.0493131
9230;0.0494763;0.0494041
9240;0.049531;0.0493867
9250;0.0495135;0.0493694
9260;0.049568;0.04946
9270;0.0495146;0.0494426
9280;0.0494971;0.0494612
9290;0.0495156;0.0494438
9300;0.0494624;0.0494265
9310;0.0495167;0.0494092
9320;0.0494993;0.0494278
9330;0.0494462;0.049482
9340;0.0494647;0.0494647
9350;0.0494118;0.0494474
9360;0.049359;0.0494658
9370;0.0493063;0.0495197
9380;0.0493603;0.0495025
9390;0.0493433;0.0494853
9400;0.0494326;0.0495035
9410;0.0493801;0.0495218
9420;0.0494338;0.04954
